InstanceName	InstancePath	N	n	m_Max	m_0	V_max	V_0	Method	Time	LimitTime	Objective	status	OPT_Sum_Cj	nbNodes
instance8_n_30_N_60_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance8_n_30_N_60_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	3.59545	600	44	Optimal	1	1748
instance9_n_30_N_60_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance9_n_30_N_60_tf_0.4_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.004	600	55	Feasible	1	54432
instance0_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance0_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	4.52045	600	59	Optimal	1	1871
instance1_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance1_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	4.65737	600	46	Optimal	1	1663
instance2_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance2_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.003	600	35	Feasible	1	31519
instance3_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance3_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	155.885	600	41	Optimal	1	32674
instance4_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance4_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	260.582	600	35	Optimal	0	31383
instance5_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance5_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	3.12225	600	46	Optimal	1	2212
instance6_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance6_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	321.522	600	63	Optimal	1	27460
instance7_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance7_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	48.2959	600	31	Optimal	1	10302
instance8_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance8_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	11.3568	600	53	Optimal	1	4558
instance9_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance9_n_30_N_60_tf_0.4_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	2.63782	600	57	Optimal	1	487
instance0_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance0_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	2.67585	600	45	Optimal	1	2161
instance1_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance1_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.004	600	61	Feasible	1	18098
instance2_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance2_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	22.1857	600	43	Optimal	1	12225
instance3_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance3_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.003	600	29	Feasible	1	51180
instance4_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance4_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.004	600	36	Feasible	1	47578
instance5_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance5_n_30_N_60_tf_0.4_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	0.859984	600	40	Optimal	1	200
